MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,Product Name
THE COLOMBO ICE COMPANY (PVT)LTD,ELEPHANT HOUSE ,ELEPHANT HOUSE TAMARIND & HONEY POPSICLE 60ML,60,ML,60ML,PLPCH,Elephant House Tamarind & Honey Popsicle
SUNSHINE COUNSUMER LANKA LTD,X-TRA,X-TRA/1/NO/PLPCH/FRESH STRAWBERRY CENTER FILLED BUBBLE GUM,10000,10000,1 NO,PLPCH,Fresh Strawberry Center Filled Bubble Gum
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CD BOX/FULL CREAM POWDER SAVE RS 30,200,GM,200GM,CDBOX,Full Cream Powder (no brand specified in the given description)
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CDBOX/FULL CREAM MILK POWDER + SAVE RS.20/,10000,10000,200 GM,CDBOX ,Full Cream Milk Powder
KEELLS FOOD PRODUCTS LTD,KREST,KEELLS KREST/270/GM/CDBOX/FISH CUTLET,10000,10000,270 GM,CDBOX,FISH CUTLET
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY HERBAL COLOGNE NEEM&TURMERIC/100/ML/CD BOX,100,ML,100ML,CD BOX,Panda Baby Herbal Cologne Neem&Turmeric
GREEN LANKA COSMETICS CO.,SUDUMAL,SUDUMAL/160/G/EWRPK/DETERGENT BAR YELLOW,160,GM,160G,EWRPK ,Detergent Bar Yellow
GREEN LANKA COSMETICS CO.,SUDUMAL,SUDUMAL/160/G/EWRPK/DETERGENT BAR ROSE,160,GM,160G,EWRPK ,Detergent Bar Rose
USWATTE GOLDEN BISCUITS (PVT)LTD,USWATTE ,USWATTE KRISPIES VANILLA FLAVORED WAFERS 200GM,200,GM,200GM,PLPCH,USWATTE KRISPIES VANILLA FLAVORED WAferS
FLASH DETERGENT (PVT) LTD,FLASH,FLASH/600/ML/PB0T/TOILET BOWL CLEANER,600,ML,600ML,PBOT,Toilet Bowl Cleaner
FLASH DETERGENT (PVT) LTD,FLASH,FLASH/1000/ML/PBOT/FLORAL DISINFECTANT FLOOR CLEANER,1000,ML,1000ML,PBOT,Floral Disinfectant Floor Cleaner
MANCHANAYAKA AGRI FOOD (PVT) LTD,COLO COCONUT MILK POWDER,COLO/25/G/PLPSH/COCONUT MILK POWDER ,25,GM,25G,PLPSH ,Coconut Milk Powder
WIJAYA PRODUCTS (PVT) LTD,WIJAYA,WIJAYA/20/G/PLPSH/PURE CEYLON TEA,20,GM,20G,PLPSH ,PURE CEYLON TEA
RECKITT BENCKISER (LANKA) LTD,DETTOL,DETTOL COOL UP TO ANTIBACTERIAL COOLING SENSATION /1NO/EWPRK/70G BUY 4 GET 1 FREE HARPIC POWER PLUS 10X 200ML ,1,NO,1NO,EWPRK ,"1. Dettol Cool Antibacterial Cooling Sensation
   2. Harpic Power Plus"
HEMAS MARKETING,VELVET,VELVET/70/GM/EWRPK/CUTIE ROSE & DRAGON FRUIT SOAP/SAVE RS 40,70,GM,70GM,EWRPK ,CUTIE ROSE & DRAGON FRUIT SOAP
HEMAS MARKETING,VELVET,VELVET/70/GM/EWRPK/NATURALS COCONUT MILK & SHEA BUTTER SOAP/SAVE RS 40,70,GM,70GM,EWRPK ,NATURALS COCONUT MILK & SHEA BUTTER SOAP
JEEWAKA FOOD (PVT) LTD,JEEWAKA,JEEWAKA/50/GM/PLPCH/FISH FLAVOUR SOYA MEAT ,50,GM,50GM,PLPCH ,FISH FLAVOUR SOYA MEAT
HEMAS MARKETING,VELVET,VELVET/70/GM/EWRPK/NATURALS AVOCADO & ARGAN OIL SOAP/SAVE RS 40,70,GM,70GM,EWRPK ,Avocado & Argan Oil Soap
JEEWAKA FOOD (PVT) LTD,JEEWAKA,JEEWAKA/50/GM/PLPCH/CUTTLEFISH FLAVOUR SOYA MEAT ,50,GM,50GM,PLPCH ,CUTTLEFISH FLAVOUR SOYA MEAT
NESTLE LANKA,MAGGI,MAGGI/75 GM/PAPARE BLAST/PLPCH ,10000,10000,75 GM,PLPCH ,Papare Blast
TRADEX INDUSTRIAL PARK,OMIL,OMIL / KOHOMBA / 100GM / WITH COCONUT & NEEM OIL / CDBOX ,100,GM,100GM,CDBOX,OMIL / KOHOMBA (The product name seems to be a combination of two words from the given description)
UDARATA TEA STORES,JANATHA ,JANATHA TEA 40 GM,10000,10000,40 GM,PLPCH,Janatha Tea
SAJA FRUIT CANNERIES,SAJA ,SAJA WOODAPPLE DRINK-PET 350 ML,10000,10000,350 ML,PET,Saja Woodapple Drink
SAJA FRUIT CANNERIES,SAJA ,SAJA MANGO-PET 350 ML,10000,10000,350 ML,PET,SAJA MANGO-PET
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,Maliban/Cream Cracker
WEERASINHA HOLDING (PVT) LTD,WINDAY GORAKA,WINDAY/NATURAL/GORAKA/DRINK/200 ML/RGB,10000,10000,200 ML,GLBOT,Goraka Drink (based on provided string)
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,Maliban/Cream Cracker
NES,MAGGI,MAGGI /75/GM/PLPCH/PAPARE BLAST NOODLES ,75,GM,75GM ,PLPCH ,PAPARE BLAST NOODLES
HEMAS MARKETING,BABY CHERAMY,BABY CHERAMY/75×5/GM/CDBOX /ALMOND OIL AND VITAMIN E SOAP +BABY CHERAMY 75 GM SOAP FREE,375,GM,375GM ,CDBOX ,"1. Almond Oil and Vitamin E Soap (First occurrence)
   2. Baby Cheramy Soap (Second occurrence)"
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE,WRITE / 40 / PGS / 1 NO / CR BOOK,10000,10000,40 PGS,1 NO,"CR Book (Assuming ""CR"" stands for a specific product name, if it represents a type of book such as children's books or cookbooks, the product name may vary)"
PRINT EXCEL PVT LTD,RATHNA,RATHNA/200/PGS/A4 EXERCISE BOOK,200,PGS,200PGS,10000,EXERCISE BOOK
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM ,PL POUCH,Super Cream Cracker Enriched with Vitamins
DIMUTHU PRODUCTS,DIMUTHU,DIMUTHU/25/GM/PLPCH/CINNAMON POWDER ,25,GM,25GM,PLPCH,Cinnamon Powder
CAVINKARE PRIVATE LIMITED,INDICA,INDICA/21/ML/PLPCH/EASY HAIR COLOUR LIQUID NATURAL BLACK + BUY 2 INDICA EASY GET 1 40ML MEERA CONDITIONER FREE ,10000,10000,21 ML,PLPCH ,"1. Easy Hair Colour Liquid Natural Black (from the product code: INDICA/21/ML/PLPCH)
   2. Meera Conditioner (mentioned as a free item when buying 2 Indica Easy Hair Colour Liquid, but not part of the original product name)"
VINI CONSUMER CARE LANKA PVT LTD,FOGG,FOGG/120/ML/TIN/DELICIOUS FRAGRANT BODY SPRAY FOR WOMEN,10000,10000,120 ML,TIN ,DELICIOUS FRAGRANT BODY SPRAY FOR WOMEN
ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON/180/ML/PLBOT/LONG AND STRONG CONDITIONER HIBISCUS JATAMANSI,10000,10000,180 ML,PLBOT ,Long and Strong Conditioner Hibiscus Jatamansi
ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON/80/ML/PLBOT/LONG AND STRONG CONDITIONER HIBISCUS JATAMANSI,10000,10000,80 ML,PLBOT ,Long And Strong Conditioner Hibiscus Jatamansi
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY/175/ML/PLBOT/HERBAL SHAMPOO WITH HERBAL EXTRACTS,10000,10000,175 ML,PLBOT ,Herbal Shampoo with Herbal Extracts
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/400/GM/TIN/CHOCOLATE FLAVORED NUTRITIONAL SUPPLEMENT + FREE LIPTON/40/GM/CDBOX/YELLOW LABEL BLACK TEA,10000,10000,400 GM,TIN ,"1. SUSTAGEN Chocolate Flavored Nutritional Supplement
   2. LIpton Yellow Label Black Tea"
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/400/GM/TIN/VANILLA FLAVORED NUTRITIONAL SUPPLEMENT + FREE LIPTON/40/GM/CDBOX/YELLOW LABEL BLACK TEA,10000,10000,400 GM,TIN ,"1. SUSTAGEN VANILLA FLAVORED NUTRITIONAL SUPPLEMENT
   2. LIpton YELLOW LABEL BLACK TEA"
VINI CONSUMER CARE LANKA PVT LTD,FOGG,FOGG/120/ML/TIN/PARADISE FRAGRANT BODY SPRAY FOR WOMEN,10000,10000,120 ML,TIN ,Paradise Fragrant Body Spray for Women
HEMAS MARKETING,FEMS,FEMS/10 SANAKIN/3X PROTECTION /,10000,10000,10,POCH ,Sanakin/3X Protection
HEMAS MARKETING,FEMS ,FEMS/10 NAPKIN/DRYTEX 3X PROTECTION ,10000,10000,10 NAPKINS,POCH ,Drytex 3X Protection Napkin
SEWWANDI FOOD FRODUT,SEWWANDI ,SEWWANDI/60G/POCH PACK /DADAYAM BATTA,60,GM,60G,POCH ,Dadayam Batta
SEWWANDI FOOD FRODUT,SEWWANDI ,SEWWANDI /60G/POCH PACK /DALLO BATTA,60,GM,60G,POCH ,"DALLo BATTA (Assuming ""DALLO"" is a part of the product name, but it could also be a pack type or brand. If so, the cleanest extraction would omit ""DALLO"".)"
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/200/GM/PLPCH/FULL CREAM MILK POWDER,10000,10000,200 GM,PLPCH ,FULL CREAM MILK POWDER
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,Maliban/Cream Cracker
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH ,Cream Cracker (from MALIBAN/490/G/PLPCH)
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST INSTANT NOODLES ,10000,10000,75 GM,PLPCH,Paprika Blast Instant Noodles
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY AYURVEDA CARE/ PANCHARATNA SHAMPOO/ 80ML / FREE LIFEBUOY MILD CARE WITH MILK PROTEIN/ 75GM,80,ML,80ML,PBT,LIFEBUOY AYURVEDA CARE/ PANCHARATNA SHAMPOO
COCA-COLA BEVERAGES,FANTA ORANGE,FANTA\1500\ML\PBT\ORANGE FLAVOURED\SAVE RS 40,1500,ML,1500ML,PBT,ORANGE FLAVOURED FANTA
KITCHI HOLDING LANKA PVT LTD,KITCHI,KITCHI/400/G/PLPSH/INSTANT NOODLES/WITH FREE BIRIANI MIX SPICY PACK 2IN1,400,GM,400G,PLPSH ,INSTANT NOODLES (with spicy Biriani Mix)
B.S.T.TRADERS,ROSETTE,ROSETTE/200/PGS/JAFFNA RULE ,200,PGS,200PGS,PGS,Jaffna Rule (From the given description)
THILOKA ENTERPRISES,SNOLIGHT,SNOLIGHT/100/GM/EWRPK/LEMON PURE LAUNDRY BAR SOAP/THILOKA ENTERPRISES,10000,10000,100 GM,EWRPK ,LEMON PURE LAUNDRY BAR SOAP
DREAM LIFE SCIENCE (PVT)LTD,ARYA,ARYA/8 PAD/POCH PACK /EASY NAPKIN,10000,10000,8,POCH ,"Easy Napkin (Based on the provided text, this seems to be the best guess as it is the only term that could reasonably represent a product name.)"
MAKING HOLDING LANKA PVT LTD,SURE,SURE/250/ML/PBT/NO-1/LIME,250,ML,250ML,PBT,PBT/LIME (without slashes)
LION FRUIT PRODUCT (PVT),LION,LION/185/ML/PBT/NO-1/TOMATO SAUCE ,185,ML,185ML,PBT,TOMATO SAUCE
DINIDU PRODUCTS ,DINIDU,DINIDU/50/G/EWRPK/NO-1/CHILLI PIECES,50,GM,50G,EWRPK,CHILLI PIECES
DINIDU PRODUCTS ,DINIDU,DINIDU/50/G/EWRPK/NO-1/CHILLI POWDER ,50,GM,50G,EWRPK,CHILLI POWDER
CEYLON COLD STORES,ELEPHANT HOUSE VIBE,ELEPHANT HOUSE VIBE /250/ML/CAN/NO-1/GRAPE BURST,250,ML,250ML,CAN,ELEPHANT HOUSE VIBE GRAPE BURST
CEYLON COLD STORES,ELEPHANT HOUSE VIBE,ELEPHANT HOUSE VIBE/250/ML/CAN/NO-1/APPLE BURST,250,ML,250ML,CAN,Apple Burst (From your given string)
CEYLON COLD STORES,ELEPHANT HOUSE VIBE,ELEPHANT HOUSE VIBE /250/ML/CAN/NO-1/GRAPE BURST,250,ML,250ML,CAN,ELEPHANT HOUSE VIBE GRAPE BURST
CEYLON COLD STORES,ELEPHANT HOUSE VIBE,ELEPHANT HOUSE VIBE/250/ML/CAN/NO-1/APPLE BURST,250,ML,250ML,CAN,Apple Burst (From ELEPHANT HOUSE VIBE)
GAMUNU PRODUCTS PVT,GAMUNU ,GEMUNU/50/G/EWRPK/NO-1/TEA,50,GM,50G,EWRPK,"TEA (Assuming ""TEA"" is the product name in this case)"
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY/225(75G×3)/GM/CDB/FLORAL EXTRACTS, VITAMIN E & MILK/SAVE RS. 50/=",225,GM,225GM(75G×3),CDB,"Baby Cheramy Floral Extracts, Vitamin E & Milk"
LANKA KINGS FOOD (PVT) LTD,KINGS KAL KIRI,KINGS KAL KIRI/250/ML/GBT/CHOCOLATE FLAVOURED ,250,ML,250ML ,GBT,KINGS KAL KIRI/CHOCOLATE FLAVOURED
COUNTRY STYLE FOODS,FND,FND/55/GM/PLPCH/JUJUBS,55,GM,55GM,PLPCH ,JUJUBS (assuming it's a guess based on the typical naming structure for products)
PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/1000/GM/CDBOX/FULL CREAM MILK POWDER,1000,GM,1000GM,CDBOX,FULL CREAM MILK POWDER
NARAH COMPUTER FORMS,TEN,TEN/1/NO/DRAWING BOOK WHITE MEDIUM 40 PGS,1,NO,1NO,10000,Drawing Book White Medium
NC PAINT,NIL MANEL,NIL MANEL/375ML/GBT/NC THINNER ,375,ML,375ML,GBT,NIL MANEL (Thinner)
NC PAINT,NIL MANEL,NIL MANEL/180ML/GBT/NC THINNER ,180,ML,180ML,GBT,"NIL MANEL (Thinner, assuming it's a product name)"
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE\490\G\EWRPK \SUPER CREAM CRACKER SAVE R.S 60,490,GM,490G,EWRPK ,SUPER CREAM CRACKER
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER ,MALIBAN\490\G\PLPCH \CREAM CRACKER FAMILY PACK SAVE R.S 60,490,GM,490G,PLPCH ,"Cream Cracker (From ""CREAM CRACKER FAMILY PACK"")"
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST/INSTANT NOODLES ,75,MG,75MG,PLPCH,Instant Noodles (Papare Blast)
NESTLE LANKA,MAGGI,MAGGI/75/G/PLUPCH/PAPARE BLAST,75,GM,75G,PLUPCH,Papare Blast
THIAGI ASSOCIATES,MYPAL,MYPAL/40/GM/PBT/BINDER GLUE PEN STIK IT,10000,10000,40 GM,PBT,Binder Glue Pen Stik It
ANTLER INDUSTRIES (PVT) LTD,AROMA,BRITOL/AROMA/1000/GM/PLPCH/SHAKTHI/DETERGENT POWDER/FRESH FLORAL,10000,10000,1000 GM,PLPCH,Detergent Powder (Fresh Floral)
CEYLON COLD STORES,ELEPHANT HOUSE ,ELEPHANT HOUSE/250/ML/CAN/VIBE APPLE BURST,250,ML,250ML ,CAN,Vibe Apple Burst
TN PRODUCT,KADU MEDAL TEA,KADU MEDA TEA/50/GM/PLPCH/BOPF TEA/ TN PRODUCTS ,50,GM,50GM ,PLPCH ,KADU MEDA TEA (or) BOPF TEA
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/50/ML/PBT/NELLI AND NEEM SHAMPOO ,50,ML,50ML,PBT,Nelli and Neem Shampoo
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/50/ML/PBT/HAPPY SMILE BABY COLOGNE ,50,ML,50ML,PBT,Happy Smile Baby Cologne
UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE/400/ML/PBT/DEEP RESTORE +PONDS SUPER LIGHT 25 GM FREE,400,ML,400ML,PBT,Deep Restore + Ponds Super Light
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CDBOX/FULL CREAM MILK POWDER 20 RS SAVE,200,GM,200GM ,CDBOX ,Full Cream Milk Powder
C.W. MACKIE PLC,HIMALAYA,HIMALAYA/50/GM/CDBOX/REVITALISING NIGHT CREAM ,50,GM,50GM,CDBOX ,REVITALISING NIGHT CREAM
MALIBAN BISCUIT MANUFACTORIES,MALIBAN LEMON PUFF,MALIBAN /100/GM/LEMON PUFF SUGAR LESS 30%,100,GM,100GM,PLPCH ,Lemon Puff Sugar Less 30%
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/200/ML/PBT/NELLI AND NEEM SHAMPOO ,200,ML,200ML,PBT,NELLI AND NEEM SHAMPOO
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/50/ML/CDBOX/HERBAL COLOGNE NEEM AND TURMERIC ,50,ML,50ML,CDBOX ,Herbal Cologne NeeM and Turmeric
UNILEVER SRI LANKA LTD,FAIR & LOVELY,FAIR AND LOVELY/50/GM/ GLOW AND LOVELY POWDER FINISH CREAM ,50,GM,50GM,CDBOX ,Glow and Lovely Powder Finish Cream
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/100/ML/CDBOX/HERBAL COLOGNE NEEM AND TURMERIC ,100,ML,100ML,CDBOX ,Herbal Cologne NeeM and Turmeric
MALIBAN BISCUIT MANUFACTORIES,MALIBAN GINGER,MALIBAN/80/GM/PLPCH/GINGER BISCUITS SUGAR LESS 30%,80,GM,80GM,PLPCH ,Ginger Biscuits Sugar Less
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSEUP/120/GM/CDBOX/EVER FRESH PEPPERMINT SPLASH 90 RS SAVE,120,GM,120GM,CDBOX ,Ever Fresh Peppermint Splash
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSEUP/120/GM/CDBOX/CLOVE +ORANGE 90 RS SAVE ,120,GM,120GM,CDBOX ,CLOSEUP CLOVE + ORANGE
UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE/200/ML/PBT/COCOA GLOW INTENSIVE CARE+ PONDS SUPER LIGHT GEL 25GM FREE,200,ML,200ML,PBT,"1. Vaseline Cocoa Glow Intensive Care
   2. Ponds Super Light Gel"
UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE/200/ML/PBT/DERMA CARE ADVANCED REPAIR BODY LOTION +PONDS SUPER LIGHT GEL 24.5GM FREE,200,ML,200ML,PBT,"1. Vaseline Advanced Repair Body Lotion (derma care)
   2. Ponds Super Light Gel"
MALIBAN BISCUIT MANUFACTORIES,MALIBAN REAL CHOCOLATE CREAM,MALIBAN/100/GM/PLPCH/REAL CHOCOLATE CREAM SUGAR LESS 30%,100,GM,100GM,PLPCH ,REAL CHOCOLATE CREAM SUGAR LESS
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/100/ML/PBT/HAPPY SMILE BABY COLOGNE ,100,ML,100ML,PBT,Happy Smile Baby Cologne
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/100/ML/PBT/NELLI AND NEEM SHAMPOO ,100,ML,100ML,PBT,NELLI AND NEEM SHAMPOO
UNILEVER SRI LANKA LTD,FAIR & HANDSOME,FAIR AND LOVELY MENS/50/GM/CDBOX/GLOW AND HANDSOME RAPID ACTION CREAM+AXE TICKET DE0 17 ML FREE,50,GM,50GM,CDBOX ,"1. FAIR AND LOVELY MENS GLOW AND HANDSOME RAPID ACTION CREAM
   2. AXE (no specific product name mentioned)"
DECORATIVE TOOLS & BRUSHES (PVT) LTD,E-ZY,E-ZY BRUSH/9/INCH/PLPCH/E-ZY ROLLER FOR USE WUTH EMULSION PAINT.,10000,10000,9'INCH,PLPCH,E-ZY BRUSH / E-ZY ROLLER
CARGILLS FOOD & BEVERAGE LIMITED ,KIST SPARKLING APPLE ,KIST SPARKLING APPLE FLAVOURED DRINK/250ML/CAN ,250,ML,250ML,CAN,KIST Sparkling Apple Flavoured Drink
CARGILLS FOOD & BEVERAGE LIMITED ,KIST SPARKLING STRAWBERRY,KIST SPARKLING STRAWBERRY FLAVOURED DRINK/250ML/CAN,250,ML,250ML,CAN,Kist Sparkling Strawberry Flavoured Drink
CARGILLS FOOD & BEVERAGE LIMITED ,KIST SPARKLING ORANGE,KIST SPARKLING ORANGE FLAVOURED DRINK/250ML/CAN ,250,ML,250ML,CAN,KIST Sparkling Orange Flavoured Drink
MAYURA COLOR PAINTS LANKA,MULTICO,MULTICO/10/L/BUCKET/ BRILLIANT WHITE WEATHERSHADE FOR EXTERIOR ,10000,10000,10 L,BUCKET,MULTICO BRILLIANT WHITE WEATHERSHADE
MAYURA COLOR PAINTS LANKA,MULTICO,MULTICO/1/L/BRILLIANT WHITE WEATHERSHADE FOR EXTERIOR ,10000,10000,1 L,BUCKET ,MULTICO/1/L/BRILLIANT WHITE WEATHERSHADE
MAYURA COLOR PAINTS LANKA,MULTICO,MULTICO/20/L/BUCKET/BRILLIANT WHITE WEATHERSHADE FOR EXTERIOR ,10000,10000,20 L,BUCKET ,MULTICO BRILLIANT WHITE WEATHERSHADE
OZONE COATINGS (PVT) LTD,OZONE,OZONE/4/L/BUCKET/EMULSION/BRILLIANT WHITE/INTERIOR,10000,10000,4 L,BUCKET ,Brilliant White Emulsion (Interior)
COCA-COLA BEVERAGES,COCA-COLA,COCA -COLA/1500/ML/PBT SAVE AS 40 RS ,1500,ML,1500ML,PBT,Coca-Cola
COCA-COLA BEVERAGES,FANTA ORANGE,FANTA/1500/ML/PBT/ORANGE FLAVOURED SAVE AS 40 RS,1500,ML,1500ML,PBT,ORANGE FLAVOURED FANTA
CROWN SWEETY PRODUCTS PVT LTD,CROWN,CROWN/25/GM/PLPCH/LOLLYPOP,25,ML,25ML,PLPCH,LOLLYPOP (From CROWN/25/GM/PLPCH/LOLLYPOP)
DESSERT BITES,CHILLER MIXED FRUIT,CHILLER/MIXED FRUIT FLAVORED DRINK/500/ML/PET,500,ML,500ML,PET,Mixed Fruit Flavored Drink
DESSERT BITES,CHILLER MIXED FRUIT,CHILLER/MANGO FLAVOURED DRINK/500/ML/PET,500,ML,500ML,PET,Mango Flavoured Drink
CRYSTAL ENTERPRISES,WINLAC NC THINNER,WINLAC/1/LTR/PLCAN/ WINLAC AUTO SHINE HIGH GLOSS N.C THINNER ,1,LTR,1LTR,PLCAN ,WINLAC AUTO SHINE HIGH GLOSS N.C THINNER
ANTLER INDUSTRIES (PVT) LTD,BRITOL ,BRITOL DISHWASHING BAR WITH LIME FRESH 100GM,100,GM,100GM,EWRPK ,Britol Dishwashing Bar with Lime Fresh
SAMANTHA PRODUCTS,SAMANTHA,SAMANTHA PRODUCTS CHILLI PIECES 100 GM ,10000,10000,100 GM,PLPCH,"Chilli Pieces (Assuming ""Chilli Pieces"" is the product name in this context)"
CEYLON AGRO INDUSTRIES,PRIMA,PRIMA TWIST NOODLES 400 GM PLPCH + SAVE RS 30,10000,10000,400 GM,PLPCH,Prima Twist Noodles
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/ 250ML/ CAN/ APPLE BURST,250,ML,250ML ,CAN,Apple Burst (from Elephant House VI)
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/ 250ML/ CAN/ ORANGE BURST,250,ML,250ML,CAN,"Orange Burst (assuming ""Elephant House"" is a brand)"
COCA-COLA BEVERAGES,FANTA ORANGE,FANTA ORANGE/1500/ML/PBT/SAVE RS. 40/=,1500,ML,1500ML,PBT,FANTA ORANGE
COCA-COLA BEVERAGES,PORTELLO,PORTELLO/1500/ML/PBT/SAVE RS.40/=,1500,ML,1500ML,PBT,Portello (based on the first word in the given string)
COCA-COLA BEVERAGES,SPRITE,SPRITE/1500/ML/PBT/SAVE RS. 40/=,1500,ML,1500ML,PBT,Sprite
CEYLON GOOD LIFE DISTRIBUTORS (PVT) LTD,OPAN,OPAN/5000/ML/PLCAN/WATER BOTTLE,5000,ML,5000ML,PLCAN,Water Bottle
CEYLON GOOD LIFE DISTRIBUTORS (PVT) LTD,OPAN,OPAN/5000/ML/PLCAN/WATER BOTTLE,5000,ML,5000ML,PLCAN,Water Bottle
SANJEEWA GROUP ,THINAYA,THINAYA SOYA MEAT/60G/PLPCH/ROSTERD CHICKEN FLAVOURED,60,GM,60G,PLPCH,Thinaya Soya Meat (Rostered Chicken Flavored)
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\GRAPE BURST ,250,ML,250ML,CAN,Grape Burst (from VIBE)
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\ORANGE BURST ,250,ML,250ML,CAN,Orange Burst
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\KIWI BURST ,250,ML,250ML,CAN,KIWI BURST (No quantity or packaging details included)
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\APPLE BURST,250,ML,250ML,CAN,APPLE BURST (from VIBE\250\ML\CAN description)
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/GM/PL POUCH/ CREAM CRACKER FAMILY PACK+SEASONAL OFFER RS 60 OFF,10000,10000,490 GM,PL POUCH,"Cream Cracker Family Pack (assuming ""Cream Cracker"" is the product name)"
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM ,PL POUCH,SUPER CREAM CRACKER (ENRICHED WITH VITAMINS)
NESTLE LANKA,MAGGI,MAGGI/75G/PLPCH/PAPARE BLAST INSTANT NOODLES,75,GM,75G,PLPCH,Paprika Blast Instant Noodles
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL+FREE DIVA FRESH 200G,500,ML,500ML,PLBOT,Harpic Power Plus 10X Advanced Original
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY/80ML/PLBOT/AYURVEDA CARE PANCHARATNA SHAMPOO FREE SOAP BAR,80,ML,80ML,PLBOT,AYURVEDA CARE PANCHARATNA SHAMPOO
UNILEVER SRI LANKA LTD,PEARS ,PEARS/70G/CDBOX/BEE'S HONEY BABY SOAP,70,GM,70G,CDBOX,BEE'S HONEY BABY SOAP
UNILEVER SRI LANKA LTD,PEARS ,PEARS/100ML/PLBOT/PURE&GENTLE BABY SHAMPOO FREE CREAM 50ML,100,ML,100ML,PLBOT,PURE&GENTLE BABY SHAMPOO FREE CREAM
