MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,nitemcode,company,brand,itemdesc,qty,uomdesc,pack_size,packaging,ERROR,ProductName,Suggestion
LAKMEE EXPORTS,LAKMEE,LAKMEE/350/GM/PLPCH/INSTANT MAGIC MIX CHICKEN FLAVOURED/LAKMEE/75/GM/PLPCH/CHILLI & GARLIC SAUCE ,350.0,GM,350GM ,PLPCH ,1,,,,,,,,,PACKSIZE,,
HEMAS MARKETING,DIVA FRESH,DIVA FRESH/1000/GM/PLPCH/GARDENIA & ROSE 3 IN 1 LONG LASTING FRESHNESS ,1000.0,GM,1000GM,PLPCH ,2,,,,,,,,,ITEMDESC,Gardenia & Rose 3 in 1 Long Lasting Freshness,
RITIGALA PRODUCTS (PVT) LTD,RITIGALA,RITIGALA/500/GM/PLPCH/CURRY POWDER ,500.0,GM,500GM ,PLPCH ,1,,,,,,,,,MANUFACTURE,,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDB/1ST CUP MALTED FOOD/FREE/MAGGI/75/GM/PLPCH/PAPARE KOTTU PACK,400.0,GM,400GM ,CDB,2,,,,,,,,,ITEMDESC,NESTOMALT / MAGGI / PAPARE KOTTU PACK,
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL VOLIN,VOLIN/90/GM/CDB/WHITE BEAUTY WITH NATURAL MOISTURIZER ,90.0,GM,90GM ,CDB,1,,,,,,,,,BRAND,,
UNILEVER SRI LANKA LTD,LIFEBUOY,"LIFEBUOY/80/ML/PBT/STRONG & THICK  HEALTH SHAMPOO WITH RICE WATER, PROTEIN + VITAMINS/FREE/LIFEBUOY/75/GM/EWREP/KHOMBA AND ALOE VERA ITHURUM LOKKA",80.0,ML,80ML ,PBT,1,,,,,,,,,PACKTYPE,,64053
DESHANI ENTERPRISES (PVT) LTD.,SUPIRISIDU ,SUPIRISIDU/100/ML/PBT/SILKY SPEED ACTION ,100.0,ML,100ML ,PBT,1,,,,,,,,,MANUFACTURE,,
SAPPUWATTE DISTRIBUTORS,CHEMIRO,CHEMIRO / 375ML / WOOD PRESERVATIE / CLEAR/ GBT,375.0,ML,375ML,GBT,1,,,,,,,,,MANUFACTURE,,
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,25.0,GM,25 GM,PLPCH ,0,63953.0,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 25 GM PLPCH,25.0,GM,25.00 GM,PLPCH,,Maggi Real Coconut Milk Powder,
HIMALI STORES,HIMALI,HIMALI/50/GM/PLPCH /FACTORY FRESH TEA,50.0,GM,50GM,PLPCH ,2,,,,,,,,,ITEMDESC,HIMALI/PLPCH Tea,
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS/70/GM/CDBOX/ALOE VERA AND NEEM BABY SOAP CHOOTY PACK SAVE RS 20.00,70.0,GM,70GM,CDBOX ,2,,,,,,,,,ITEMDESC,Aloe Vera and Neem Baby Soap Chooty Pack,
CEYLON BISCUITS LIMITED,MUNCHEE CAROL COOKIES,MUNCHEE/85/G/PLPSH/CAROL COOKIES,85.0,GM,85G,PLPSH ,1,,,,,,,,,BRAND,,64092
NESTLE LANKA,NESTOMALT,"NESTOMALT/400/GM/CDBOX/ 1ST CUP,MALTED FOOD +FREE ,MAGGI/75/GM/PLPCH/PAPARE KOTTU NOODLES PACK ",400.0,GM,400GM,CDBOX ,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,"NESTOMALT MALTED FOOD, Maggi Papare Kottu",
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/GM/CDBOX/PURIFYING WELLNESS,WITH KOHOMBA,PANCHAVALKADI TAILAM AND MINT",70.0,GM,70GM,CDBOX ,1,,,,,,,,,BRAND,,64082
RGM PRODUCT ,RGM,RGM/1000/GM/PLPCH/RGM CURRY POWDER ,1000.0,GM,1000 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
SILVRMILL NATURAL BEVERAGES (PVT) LTD,SILVRMILL,SILVERMILL/330/ML/TPK/COCONUT MILK/,330.0,ML,330 ML,TPK,1,,,,,,,,,MANUFACTURE,,64180
RGM PRODUCT ,RGM,RGM/1000/GM/PLPCH/RGM CHILLI POWDER,1000.0,GM,1000 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
SAKURA TAE,SAKURA TER,SAKURA/1000/GM/PLPCH/SAKURA PURE CEYLON TER,1000.0,GM,1000 GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
RGM PRODUCT ,RGM,RGM/1000/KG/PLPCH/ HILLI POWDER,1000.0,KG,1000 KG,PLPCH,1,,,,,,,,,MANUFACTURE,,
HYGIENICALLY MANUFACTURED PRODUCT,SILVERMILL,SILVERMILL/330/ML/TPK/COCONUT MILK,330.0,ML,330 ML,TPK,1,,,,,,,,,MANUFACTURE,,
RGM PRODUCT ,RGM,RGM/1000/KG/PLPCH/CHILLI PAWDER,1000.0,KG,1000 KG,PLPCH,1,,,,,,,,,MANUFACTURE,,
SACHIE BISCUITS (PVT) LTD,SACHIE BUDDY MARIE,SACHIE/360GM/PLPCH/BUDDY/MARIE BISCUIT ,360.0,GM,360GM,PLPCH ,2,,,,,,,,,ITEMDESC,Marie Biscuits,
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/G/CD BOX/NO-1/EXFOLIATING WELLNESS VENIVEL,ALMOND & COCONUT SHELL POWER",70.0,GM,70G,CD BOX,1,,,,,,,,,BRAND,,64132
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/G/CD BOX/NO-1/GLOWING RADIANCE SANDALWOOD, KUMKUMADI TALISMAN & SAFFRON ",70.0,GM,70G,CD BOX,1,,,,,,,,,BRAND,,64081
UNILEVER SRI LANKA LTD,AYUSH,AYUSH\15\G\CD BOX\ANTI MARK & OIL CONTROL WITH KUMKUMADI TAILAM AND MINT,15.0,GM,15G,CD BOX,1,,,,,,,,,BRAND,,64084
HEMAS MARKETING,BABY CHERAMY,BABY CHERAMY \200\ML\PBT\GENTLY CLEANES &SOFTNESS HAIR SHAMPOO +FREE BABY CHERAMY ALMOND OIL VITAMIN E MILK SOAP 70G,200.0,ML,200ML,PBT,1,,,,,,,,,PACKTYPE,,64164
UNILEVER SRI LANKA LTD,AYUSH,AYUSH\30\G\CD BOX\TOTAL ORAL CARE WITH CLOVE OIL & DASANAKANTHI CHOORNAM,30.0,GM,30G,CD BOX,1,,,,,,,,,BRAND,,64089
CIC HOLDINGS (PVT) LTD,PEADIA SURE GOLD,PEDIA SURE GOLD\380\G\TIN\CLASSIC  VANILLA NUTRITIONAL SUPPLEMENT FOR CHILDREN 1-10YEARS,380.0,GM,380G,TIN,1,,,,,,,,,BRAND,,64012
GODREJ HOUSEHOLD PRODUCTS (PVT) LTD,GODREJ,GODREJ EXPERT \21\ML\POUCH\5 MINUTES HAIR COLOUR LIQUID NATURAL BLACK ENRICHED WITH ALOE VERA & NELLI,21.0,ML,21ML,POUCH ,1,,,,,,,,,PACKTYPE,,53569
SMITHKLINE BEECHAM PVT LTD,SENSODYNE,SENSODYNE \1NO\SENSITIVE SOFT TOOTH BRUSH SAVE RS 95,1.0,NO,1NO,NO,1,,,,,,,,,MANUFACTURE,,63964
WEERASINGHE TEA,WST,WST/100/G/PLUPCH/THALAWAKELE,100.0,GM,100G,PLUPCH,1,,,,,,,,,PACKSIZE,,53942
UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/70/GM/CDBOX/GLOWING RADIANCE WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON,70.0,GM,70GM,CDBOX ,0,64081.0,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH GLOWING RADIANCE SOAP WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON 70 GM CDBOX,70.0,GM,70.00 GM,CDBOX,,AYUSH GLOWING RADIANCE SOAP WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON,
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/70/GM/CDBOX/PURIFYING WELLNESS KHOMBA, PANCHAVALKADI TAILAM AND MINT",70.0,GM,70GM,CDBOX ,0,64082.0,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH PURIFYING WELLNESS SOAP WITH KOHOMBA PANCHAVALKADI TAILAM AND MINT 70 GM CDBOX,70.0,GM,70.00 GM,CDBOX,,AYUSH PURIFYING WELLNESS SOAP WITH KOHOMBA PANCHAVALKADI TAILAM AND MINT,
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/85/GM/PLPCH/CAROL COOKIES,85.0,GM,85 GM,PLPCH ,1,,,,,,,,,BRAND,,64092
UNILEVER SRI LANKA LTD,VASELINE,VASELINE/100/ML/PBT/ADVANCED REPAIR SERUM IN LOTION,100.0,ML,100 ML,PBT,1,,,,,,,,,PACKTYPE,,51575
UNILEVER SRI LANKA LTD,VASELINE,VASELINE/100/ML/PLBOT/DEEP RESTORE 24 HR VASELINE JELLY,100.0,ML,100 ML,PLBOT ,2,,,,,,,,,ITEMDESC,Deep Restore 24 HR Vaseline Jelly,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1ST CUP MALTED FOOD + FREE MAGGI/75/GM/PLPCH/PAPARE KOTTU,400.0,GM,400 GM,CDBOX ,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,NESTOMALT Malted Food  and Maggi Papare Kottu,
THE SWADEHI INDUSTRIAL WORKS PLC,KHOMBA BABY,KHOMBA BABY SOAP KOHOMBA WITH COCONUT 70GM +(SAVE 15),70.0,GM,70GM,CDBOX,1,,,,,,,,,MANUFACTURE,,63944
THE SWADEHI INDUSTRIAL WORKS PLC,KHOMBA BABY,KHOMBA BABY SOAP VENIVEL 70GM +SAVE 15,70.0,GM,70GM,CDBOX,1,,,,,,,,,MANUFACTURE,,63944
THE SWADEHI INDUSTRIAL WORKS PLC,KHOMBA BABY,KHOMBA BABY SOAP KOHOMBA WITH COCONUT MILK & ALOE VERA 70GM + SAVE 15,70.0,GM,70GM,CDBOX,1,,,,,,,,,MANUFACTURE,,63944
SAMMANA STATIONER (PVT) LTD,SAMMANEE ,SAMMANEE - B5 NOTE BOOK 200 PAGES ,80.0,PAGES,80PAGES,1NO,1,,,,,,,,,PACKSIZE,,64178
CHAMILA MILK PRODUCT ,CS DAILY ,CS / DAILY /200ML/CUP/ORENGE DRINK ,200.0,ML,200ML,CUP,1,,,,,,,,,BRAND,,14634
C.R.B.INDUSTRIES,CHILL HOUSE ,CHILL HOUSE / 60 / ML / PLPCH / MILK FRUITY / FRUIT FLAVOURED MILK ICE LOLLY,60.0,ML,60 ML,PLPCH ,1,,,,,,,,,MANUFACTURE,,
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/VENIVEL AYURVEDA SOAP ,75.0,GM,75GM,CDBOX,1,,,,,,,,,PACKSIZE,,64208
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75GM/CDBOX/ KOHOMBA AYURVEDA SOAP ,75.0,GM,75GM,CDBOX,1,,,,,,,,,PACKSIZE,,64208
HIMALI STORES,HIMALI PRODUCTS,HIMALI /25/GM/PLPCH /PEPPER POWDER,25.0,GM,25GM,PLPCH ,1,,,,,,,,,BRAND,,64174
HIMALI STORES,HIMALI,HIMALI/50/GM/PLPCH /FACTORY FRESH TEA,50.0,GM,50GM,PLPCH ,0,63959.0,HIMALI STORES,HIMALI,HIMALI FACTORY FRESH TEA 50 GM PLPCH,50.0,GM,50.00 GM,PLPCH,,HIMALI FACTORY FRESH TEA,
DULAJ MARKETING,MADOLA TEA,MADOLA TEA/50/GM/PLPCH /PURE CEYLON TEA,50.0,GM,50GM,PLPCH ,1,,,,,,,,,MANUFACTURE,,
HIMALI STORES,HIMALI PRODUCTS,HIMALI/50/GM/PLPCH /CHILLI POWDER,50.0,GM,50GM,PLPCH ,1,,,,,,,,,BRAND,,64040
HIMALI STORES,HIMALI PRODUCTS,HIMALI/50/GM/PLPCH /ROSTED CURRY POWDER,50.0,GM,50GM,PLPCH ,1,,,,,,,,,BRAND,,64038
HEMAS MARKETING,GOYA,GOYA ROSES /RUBY RED /70G/ CDBOX ,70.0,GM,70G,CDBOX ,0,63960.0,HEMAS MARKETING,GOYA,GOYA (HEMAS) ROSES RUBY RED SOAP 70 GM CDBOX,70.0,GM,70.00 GM,CDBOX,,Goya  Roses Ruby Red Soap,
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/200/ML/PET/MANGO NECTAR,200.0,ML,200ML,PET,1,,,,,,,,,MANUFACTURE,,
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/500/ML/PET/MANGO NECTAR,500.0,ML,500ML,PET,1,,,,,,,,,MANUFACTURE,,
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/500/ML/PET/MIX FRUIT NECTAR,500.0,ML,500ML,PET,1,,,,,,,,,MANUFACTURE,,
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/200/ML/PET/ WOODAPPLE NECTAR ,200.0,ML,200ML,PET,1,,,,,,,,,MANUFACTURE,,
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/200/ML/PET/MIX FRUIT NECTAR,200.0,ML,200ML,PET,1,,,,,,,,,MANUFACTURE,,
ROYAL FOOD PRODUCT LANKA (PVT) LTD.,SUNSHINE,SUNSHINE/500/ML/PET/WOODAPPLE NECTAR,500.0,ML,500ML,PET,1,,,,,,,,,MANUFACTURE,,
DARLEY BUTLER,COW & GATE NEXT STEP 4,COW AND GATE 4/400/GM/TIN/3-6 YEARS NEXT STEPS  600 RS SAVE,400.0,GM,400GM ,TIN,0,64169.0,DARLEY BUTLER,COW & GATE NEXT STEP 4,COW & GATE NEXT STEP 4 3-6 YEARS 400 GM TIN + SAVE RS 600,400.0,GM,400.00 GM,TIN,,COW & GATE NEXT STEP,
UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/70/GM/CDBOX/GLOWING RADIANCE WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON,70.0,GM,70GM,CDBOX ,0,64081.0,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH GLOWING RADIANCE SOAP WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON 70 GM CDBOX,70.0,GM,70.00 GM,CDBOX,,AYUSH GLOWING RADIANCE SOAP WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON,
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/70/GM/CDBOX/PURIFYING WELLNESS KHOMBA, PANCHAVALKADI TAILAM AND MINT",70.0,GM,70GM,CDBOX ,0,64082.0,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH PURIFYING WELLNESS SOAP WITH KOHOMBA PANCHAVALKADI TAILAM AND MINT 70 GM CDBOX,70.0,GM,70.00 GM,CDBOX,,AYUSH PURIFYING WELLNESS SOAP WITH KOHOMBA PANCHAVALKADI TAILAM AND MINT,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA BABY/30/ML/CDBOX/FLORAL BABY COLOGNE ,30.0,ML,30ML,CDBOX ,2,,,,,,,,,ITEMDESC,Floral Baby Cologne,
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/70/GM/CDBOX/EXFOLIATING WELLNESS WITH VENIVEL,ALMOND OIL AND COCONUT SHELL POWDER ",70.0,GM,70GM,CDBOX ,0,64132.0,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH EXFOLIATING WELLNESS SOAP WITH VENIVEL ALMOND OIL AND COCONUT SHELL POWDER 70 GM CDBOX,70.0,GM,70.00 GM,CDBOX,,AYUSH Exfoliating Wellness Soap with Venivel Almond Oil and Coconut Shell Powder,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/1ST CUP MALTED FOOD/WITH MAGGI PAPARE KOTTU 75G FREE,400.0,GM,400G ,CDBOX ,2,,,,,,,,,ITEMDESC,1ST CUP Malted Food with Maggi Papare Kottu,
NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP / 400GM/ MALTED FOOD / FREE MAGGI PAPARE KOTTU 75GM/ CDBOX ,400.0,GM,400GM ,CDBOX ,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,NESTOMALT,
STASSEN FOODS LTD,PFANNER GREEN APPLE,PFANNER/1000/ML/TPK/PRUNER APFEL MELA VERDE,1000.0,ML,1000ML,TPK,1,,,,,,,,,MANUFACTURE,,
HEMAS MARKETING,GOYA,GOYA/70/GM/PRETTY PINK/EWRPK ,70.0,GM,70 GM,EWRPK ,1,,,,,,,,,PACKTYPE,,64036
HEMAS MARKETING,GOYA,GOYA/70/GM/RUBY RED/EWRPK ,70.0,GM,70 GM,EWRPK ,1,,,,,,,,,PACKTYPE,,63960
SMITHLINE BEECHAM PVT LTD,SENSODYNE,SENSODYNE/1N/SENSITIVE SOFT,1.0,NO,1NO,CD COVER,1,,,,,,,,,MANUFACTURE,,
REEBONN LANKA PVT LTD,GODREJ,GODREJ/200G(100Ã—2)/CDBOX/CINTHOL LIME REFRESHING DEO SOAP BUY TWO&SAVE 70/-,200.0,GM,200G,CDBOX,1,,,,,,,,,MANUFACTURE,,
HEMAS MARKETING,GOLD,GOLD/50ML/CDBOX/GALAXY SPECIAL EDITION ,50.0,ML,50ML,CDBOX,1,,,,,,,,,BRAND,,
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK/80ML/PLBOT/STUNNING BLACK SHINE SHAMPOO ACTIV MIX+FREE LIFUEBUOY 75G SOAP,80.0,ML,80ML,PLBOT,2,,,,,,,,,ITEMDESC,Stunning Black Shine Shampoo Activ Mix,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/PLPCH/LEMONGRASS,67.0,GM,67 GM,PLPCH ,1,,,,,,,,,PACKTYPE,,63961
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,10.0,NO,10 NO,PLPCH ,1,,,,,,,,,PACKTYPE,,51411
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSE UP/120/GM/CDBOX/RED HOT TRIPLE FRESH FORMULA + SAVE 40,120.0,GM,120 GM,CDBOX ,0,51694.0,UNILEVER SRI LANKA LTD,CLOSE UP,CLOSE UP RED HOT TRIPLE FRESH FORMULA 120 GM CDBOX,120.0,GM,120.00 GM,CDBOX,,Close Up Red Hot Triple Fresh Formula,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX /1 ST CUP/MOLTED FOOD/FREE PACK /PAPARE KOTTU /75/GM/PLPCH,400.0,GM,400 GM,CDBOX ,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,NESTOMALT,
GEORGE STEUARTS TEA,STEUARTS,STEUARTS TEA /200/GM/PLPCH /(100 )TEA BAGS/STEUARTS CATERING PACK,200.0,GM,200 GM  ,PLPCH ,0,64163.0,GEORGE STEUARTS TEA,STEUARTS,STEUARTS TEA - CATERING PACK 100 TEA BAGS 200 GM PLPCH,200.0,GM,200.00 GM,PLPCH,,STEUARTS TEA,
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/125/GM/CDBOX / REAL COCONUT MILK POWDER ,125.0,GM,125 GM,CDBOX ,0,64057.0,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 125 GM CDBOX,125.0,GM,125.00 GM,CDBOX,,Maggi Real Coconut Milk Powder,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/MALTED FOOD/WITH/MAGGI/75/G/PLPCH/PAPARE  KOTTU/FREE,400.0,GM,400G,CDBOX ,2,,,,,,,,,ITEMDESC,Malted Food with Maggi,
KINGS WAY PRODUCTS,KINGS WAY,KINGSWAY/8/G/EWRPK/LONG COOL/PEPPERMINT,8.0,GM,8G,EWRPK ,1,,,,,,,,,PACKSIZE,,64162
NATURE'S BEAUTY CREATIONS LTD,NATURES SECRETS,NATURE SECRETS/ 100 ML / PLBOT  / BRIGHTENING CARE ENRICHED WITH COCOA BUTTER  PAPAYA  & VITAMIN B3,100.0,ML,100 ML,PLBOT ,0,51863.0,NATURE'S BEAUTY CREATIONS LTD,NATURES SECRETS,NATURES SECRETS BRIGHTENING CARE ENRICHED WITH COCOA BUTTER + PAPAYA & VITAMIN B3 BODY LOTION 100 ML PLBOT,100.0,ML,100.00 ML,PLBOT,,NATURES SECRETS BRIGHTENING CARE ENRICHED WITH COCOA BUTTER + PAPAYA & VITAMIN B3 BODY LOTION,
GLAXO SMITHKLINE BEECHAM,SENSODYNE,SENSODYNE/SOFT/SENSITIVE/TOOTH BRUSH/1 NOS,1.0,NOS,1 NOS,NONE,1,,,,,,,,,PACKSIZE,,63964
SACHIE BISCUITS (PVT) LTD,SACHIE BUDDY MARIE,SACHIE/360/GM/PLPCH/BUDDY MARI BISCUITS ,360.0,GM,360GM,PLPCH ,0,64160.0,SACHIE BISCUITS (PVT) LTD,SACHIE BUDDY MARIE,SACHIE BUDDY MARI BISCUITS 360 GM PLPCH,360.0,GM,360.00 GM,PLPCH,,Sachie Buddy Mari Biscuits,
UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT/(110*2) 220/GM/EWRPK/LEMON LAUNDRY BAR/SAVE RS 85,,,(110*2) 220GM,EWRPK ,1,,,,,,,,,PACKSIZE,,63595
NESTLE LANKA,NESTOMALT,NESTOMALT/400G/CD BOX/FREE MAGGI PAPARE KOTTU 75G,400.0,GM,400G,CD BOX,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,NESTOMALT,
ICL MARKETING,BLACK KNIGHT,BLACK KINIGHT/18.5ML/POKET/DARK KIIGHT,18.5,ML,18.5ML,POCEET,1,,,,,,,,,PACKSIZE,,64006
ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT/18.5ML/POKET BOX/FRESH EXTREM/,18.5,ML,18.5ML,POCET,1,,,,,,,,,PACKSIZE,,64007
LAKSIRI ENTERPISES,LAKSIRI,LAKSIRI/50/GM/PLPCH/CHILLI POWDER ,50.0,GM,50GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
J.D.DISTRIBUTORS,JD COOL,JD COOL/190/ML/PLCUP/VINO FLAVOURED DRINK,190.0,ML,190ML,PLCUP,1,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK DAMAGE RESTORE WITH KING COCONUT OIL SHAMPOO 80ML /FREE LIFEBUOY MILD CARE SOAP( SAVE 5),80.0,ML,80ML,PLBOT,0,64018.0,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK DAMAGE RESTORE SHAMPOO WITH KING COCONUT OIL KERATIN PROTEIN & VITAMIN C ACTIV-MIX 80 ML PLBOT + FREE LIFEBUOY MILD CARE WITH MILK PROTEIN 75 GM EWRPK,80.0,ML,80.00 ML,PLBOT,,"1. SUNSILK DAMAGE RESTORE SHAMPOO WITH KING COCONUT OIL
   2. LIFEBUOY MILD CARE WITH MILK PROTEIN",
RAIGAM MARKETING SERVICE (PVT)LTD,RAIGAM ,RAIGAM CHICKEN FLAVOURED SOYA 40GM ( DARAPORANU SOYA),40.0,GM,40GM,PLPCH,1,,,,,,,,,MANUFACTURE,,64161
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK STUNNING BLACK SHINE WITH AMLA OIL PEARL PROTEIN & VITAMIN E  80ML + FREE LIFEBUOY MILD CARE 75GM (SAVE 5),80.0,ML,80ML,PLBOT,0,63973.0,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK STUNNING BLACK SHINE-GO SHINE-WITH AMLA OIL PEARL PROTEIN & VITAMIN E ACTIVE MIX SHAMPOO 80 ML PLBOT + FREE LIFEBUOY MILD CARE WITH MILK PROTEIN SOAP 75 GM EWRPK,80.0,ML,80.00 ML,PLBOT,,1. SUNSILK STUNNING BLACK SHINE-GO SHINE-WITH AMLA OIL PEARL PROTEIN & VITAMIN E ACTIVE MIX SHAMPOO,
PEPSICO INTERNATIONAL,OLE CREAM SODA,OLE/400/ML/PLBOT / OLE CREAM SODA ,400.0,ML,400ML,PLBOT ,1,,,,,,,,,PACKTYPE,,14615
IMPORTED,FOGG,FOGG/120/ML/TIN/ABSOLUTE,120.0,ML,120 ML,TIN,1,,,,,,,,,BRAND,,
IMPORTED,FOGG,FOGG/120/ML/TIN/DYNAMIC,120.0,ML,120 ML,TIN,1,,,,,,,,,BRAND,,
ELEPHANT HOUSE ,KULFI FLAVOURED ,ELEPHANT HOUSE /KULFI FLAVOURED WHITE CHOCO COATED ICE CREAM /PLPCH /50ML ,50.0,ML,50ML,PLPCH ,1,,,,,,,,,MANUFACTURE,,
HEMAS MARKETING,FEMS,FEMS/10/NO/DRYTEX WINGS 3X PROTECTION SANTARY NAPKINS,10.0,NO,10NO,,1,,,,,,,,,PACKTYPE,,51411
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/50/GM/PLPCH/MELKO FULL CREAM MILK POWDER ,50.0,GM,50GM,PLPCH ,1,,,,,,,,,BRAND,,64131
EMA FOOD PRODUCTS,EMA,EMA/250G/PLPCH / ROASTED CURRY POWDER ,250.0,GM,250G,PLPCH ,0,64155.0,EMA FOOD PRODUCTS,EMA,EMA ROASTED CURRY POWDER 250 GM PLPCH,250.0,GM,250.00 GM,PLPCH,,EMA ROASTED CURRY POWDER,
EMA FOOD PRODUCTS,EMA,EMA/250G/PLPCH/CURRY POWDER ,250.0,GM,250G,PLPCH ,0,64156.0,EMA FOOD PRODUCTS,EMA,EMA CURRY POWDER 250 GM PLPCH,250.0,GM,250.00 GM,PLPCH,,EMA CURRY POWDER,
EMA FOOD PRODUCTS,EMA,EMA/25G/PLPCH/TURMERIC POWDER ,25.0,GM,25G,PLPCH ,0,64157.0,EMA FOOD PRODUCTS,EMA,EMA TURMERIC POWDER 25 GM PLPCH,25.0,GM,25.00 GM,PLPCH,,EMA Turmeric Powder,
UNILEVER SRI LANKA LTD,LUX,LUX/210G/EWPRK/BRIGHT GLOW VITAMIN C + E 70G BUY 2 GET 1 FREE SOFT GLOW JASMINE 70G ,210.0,GM,210G,EWPRK ,1,,,,,,,,,PACKTYPE,,64134
COLOMBO COMMODITIES,MIRICH,MIRICH/500/GM/ CHILLI POWDER/PLCH,500.0,GM,500GM,PLCH,0,64158.0,COLOMBO COMMODITIES,MIRICH,MIRICH CHILLI POWDER 500 GM PLPCH,500.0,GM,500.00 GM,PLPCH,,Mirich Chilli Powder,
